Pathway	ERR1995248_bin.1	ERR1995248_bin.10	ERR1995248_bin.11	ERR1995248_bin.12	ERR1995248_bin.13	ERR1995248_bin.2	ERR1995248_bin.3	ERR1995248_bin.4	ERR1995248_bin.5	ERR1995248_bin.6	ERR1995248_bin.7	ERR1995248_bin.8	ERR1995248_bin.9
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	21	19	22	18	21	21	22	18	20	18	20	20	22
Glycolysis, core module involving three-carbon compounds	10	9	10	7	9	10	11	10	10	10	10	10	10
Gluconeogenesis, oxaloacetate => fructose-6P	13	13	13	8	11	13	16	12	13	13	13	12	13
Pentose phosphate pathway (Pentose phosphate cycle)	10	10	14	9	9	14	13	9	10	10	9	10	13
PRPP biosynthesis, ribose 5P => PRPP	1	1	1	1	1	1	1	1	1	1	1	1	1
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2	4	5	3	4	5	5	3	3	3	2	3	5
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	6	4	6	4	2	6	6	4	5	5	5	6	6
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	2	4	5	3	4	5	5	3	2	2	2	4	5
Citrate cycle (TCA cycle, Krebs cycle)	23	20	25	20	22	21	30	22	22	17	21	26	25
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	5	5	6	5	6	6	6	6	5	0	5	6	6
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	18	15	19	15	16	15	24	16	17	17	16	20	19
Glyoxylate cycle	3	4	4	3	4	4	6	4	4	2	5	4	4
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	2	2	2	4	3	4	3	1	1	2	4	2	3
Glucuronate pathway (uronate pathway)	7	7	7	7	7	7	8	7	7	5	4	7	7
Proline biosynthesis, glutamate => proline	3	3	3	3	3	3	3	3	3	3	3	3	3
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	13	13	13	12	12	13	13	13	13	12	13	12	13
Methionine biosynthesis, aspartate => homoserine => methionine	11	11	12	12	12	12	13	12	10	11	12	12	12
Threonine biosynthesis, aspartate => homoserine => threonine	10	10	10	8	9	10	10	10	10	8	8	10	10
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	5	6	6	4	5	4	6	6	3	6	6	6	6
Serine biosynthesis, glycerate-3P => serine	5	5	5	3	5	5	5	5	5	3	4	5	5
Cysteine biosynthesis, serine => cysteine	3	4	4	4	4	4	4	4	3	2	3	4	4
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	12	12	12	8	11	12	12	12	12	11	12	12	12
Tryptophan biosynthesis, chorismate => tryptophan	9	8	14	14	13	14	14	14	7	11	14	10	14
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	8	10	9	9	9	10	9	10	10	10	10	9	9
Tyrosine biosynthesis, chorismate => HPP => tyrosine	7	8	7	7	7	8	7	8	8	8	8	7	7
Histidine biosynthesis, PRPP => histidine	18	18	18	17	11	17	18	16	9	10	16	18	18
GABA (gamma-Aminobutyrate) shunt	5	6	5	7	8	7	8	7	4	7	8	5	8
Ornithine biosynthesis, glutamate => ornithine	11	7	11	12	9	12	11	12	8	9	12	11	11
Urea cycle	5	4	4	4	5	4	5	4	3	4	4	4	4
Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	4	3	4	4	4	4	4	4	2	1	3	4	4
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5	5	5	5	5	5	5	5	3	5	5	5	5
Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	3	3	3	4	3	4	4	3	3	2	3	3	3
Ectoine biosynthesis, aspartate => ectoine	3	4	4	5	4	4	4	4	4	4	3	3	4
Methionine salvage pathway	8	10	11	7	7	13	12	9	10	11	10	10	9
Methionine degradation	5	6	5	4	4	4	5	5	4	4	4	4	4
Leucine degradation, leucine => acetoacetate + acetyl-CoA	9	11	13	12	13	12	13	9	8	11	13	13	13
Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	0	1	0	0	0	0	0	0	0	0	0	0	0
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	2	5	4	5	4	5	4	6	5	3	4	3	5
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	2	0	2	0	1	1	0	1	1	1	0	2	2
Tyrosine biosynthesis, chorismate => arogenate => tyrosine	6	6	6	5	6	6	6	6	6	5	6	6	6
Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	1	0	0	0	0	0	0	0	0	0	0	0
Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyrosine degradation, tyrosine => homogentisate	3	1	3	4	3	1	3	2	2	2	4	3	3
Histidine degradation, histidine => N-formiminoglutamate => glutamate	7	1	6	3	4	1	3	2	2	2	3	6	5
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	5	5	6	5	6	5	6	4	6	6	6	6	6
Creatine pathway	0	0	0	0	0	0	0	0	0	1	0	0	0
De novo purine biosynthesis, PRPP + glutamine => IMP	17	18	17	19	15	17	17	18	18	15	17	17	17
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	4	3	5	3	5	4	5	4	4	5	4	5	5
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	3	3	4	3	4	4	4	3	3	4	4	4	4
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	13	12	13	12	13	12	13	13	12	11	12	11	12
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	3	3	4	2	4	4	4	3	3	4	4	3	4
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	1	2	2	1	1	2	3	2	2	3	2	2	2
N-glycan precursor biosynthesis	1	1	3	1	2	1	1	3	3	3	3	1	2
O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	9	4	9	6	9	4	9	3	4	9	9	9	9
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	2	6	6	2	5	4	6	2	5	2	3	4	5
CMP-KDO biosynthesis	4	3	4	4	4	4	4	3	4	4	4	4	4
ADP-L-glycero-D-manno-heptose biosynthesis	5	5	6	6	6	5	6	5	6	6	6	5	5
GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactosylceramide biosynthesis	1	1	1	0	1	0	1	1	1	0	1	1	1
Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0	0	0	0	0	0	0	0	0	0	0	1	0
N-glycosylation by oligosaccharyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan precursor trimming	0	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan biosynthesis, high-mannose type	0	0	0	0	0	0	0	0	0	0	0	0	1
N-glycan biosynthesis, complex type	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermatan sulfate degradation	3	3	3	2	3	2	3	1	3	0	0	3	3
Chondroitin sulfate degradation	3	3	3	2	3	2	3	1	3	0	0	3	3
Heparan sulfate degradation	5	5	6	3	5	3	4	2	4	1	1	6	6
Keratan sulfate degradation	3	3	3	3	3	2	2	1	2	0	0	3	3
Pectin degradation	0	0	1	0	0	0	1	0	0	0	0	0	1
Fatty acid biosynthesis, initiation	12	6	12	7	12	8	12	12	7	12	12	10	12
Fatty acid biosynthesis, elongation	12	4	12	11	10	12	12	12	4	12	12	11	12
Fatty acid elongation in mitochondria	0	1	0	4	0	1	4	1	1	2	2	0	1
beta-Oxidation, acyl-CoA synthesis	2	1	2	2	2	0	2	2	2	2	2	2	2
beta-Oxidation	6	6	10	14	10	11	13	3	3	8	13	10	10
Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	4	2	4	4	4	2	4	4	2	4	4	4	4
Triacylglycerol biosynthesis	2	2	2	2	3	2	2	2	0	2	2	2	2
Phosphatidylcholine (PC) biosynthesis, choline => PC	0	0	0	0	1	0	0	0	1	0	0	0	0
Phosphatidylcholine (PC) biosynthesis, PE => PC	1	1	1	1	1	1	1	1	1	1	1	1	1
Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	4	2	4	4	2	2	4	3	2	3	3	4	4
Ceramide biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1
C5 isoprenoid biosynthesis, mevalonate pathway	4	1	4	2	4	1	5	4	4	2	3	4	4
C5 isoprenoid biosynthesis, non-mevalonate pathway	9	8	9	5	9	7	9	8	9	8	8	8	8
beta-Carotene biosynthesis, GGAP => beta-carotene	4	4	4	4	4	4	4	4	4	4	4	4	4
Acylglycerol degradation	2	2	1	1	1	2	2	1	2	0	2	2	2
Sphingosine biosynthesis	1	1	1	1	1	2	1	1	3	1	1	1	1
Sphingosine degradation	2	1	2	0	1	0	0	2	0	0	0	1	2
Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0	0	0	0	0	0	0	0	1	0	0	0	0
Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	1	1	1	1	1	1	1	1	2	1	1	1	1
Cholecalciferol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	0	2	1	1	0	0	3	0	2	0	3	1	1
Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	0	0	0	0	0	0	0	0	0	0	0	0	0
Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	0	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	0	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	0	0	0	0	0	0	0	0	0
C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	0	0	0	0	0	0	0	0	0	0	0	0	0
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	2	3	2	3	1	2	2	2	2	2	2	2	2
Jasmonic acid biosynthesis	0	0	0	1	0	1	0	0	0	0	1	0	0
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	4	4	4	4	4	3	4	3	4	3	4	4	4
NAD biosynthesis, aspartate => quinolinate => NAD	7	6	7	6	7	7	7	6	5	6	6	7	7
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	7	6	9	9	8	6	9	7	5	8	8	9	9
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	9	7	8	8	7	6	10	7	6	7	8	8	8
Glutathione biosynthesis, glutamate => glutathione	0	1	0	0	0	0	2	0	0	0	0	0	1
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	4	3	6	6	5	2	6	6	3	5	6	5	6
Coenzyme A biosynthesis, pantothenate => CoA	8	5	8	5	8	8	8	8	9	8	9	8	8
Heme biosynthesis, plants and bacteria, glutamate => heme	8	10	10	12	6	11	14	10	7	13	11	10	10
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	5	8	5	7	8	6	10	9	4	9	10	5	5
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	5	5	6	6	6	5	6	6	2	6	6	6	6
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	6	5	6	3	5	4	6	3	4	2	3	6	6
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	16	9	16	7	15	10	16	11	11	14	13	14	15
Tetrahydrofolate biosynthesis, GTP => THF	12	6	12	8	12	6	12	11	5	10	9	11	12
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	7	8	9	10	8	10	10	8	8	8	9	9	10
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	1	1	0	0	0	0	1	1	0	0	1	0	0
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	5	6	5	5	5	3	6	4	5	3	3	5	5
Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0	0	0	0	0	0	0	0	0	0	0	0	0
Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	1	1	1	1	1	1	1	0	1	0	0	1	1
Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	0	0	0	0	0	0	0	0	0	0	0	0	0
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	4	2	3	5	4	3	6	3	2	5	5	3	3
Polyamine biosynthesis, arginine => ornithine => putrescine	2	1	1	1	1	1	2	1	0	1	1	1	1
GABA biosynthesis, eukaryotes, putrescine => GABA	3	3	3	3	3	3	3	3	3	3	3	3	3
GABA biosynthesis, prokaryotes, putrescine => GABA	3	4	3	3	4	4	4	4	4	4	4	3	4
Flavanone biosynthesis, phenylalanine => naringenin	1	0	1	0	0	0	0	0	0	0	0	1	1
Flavonoid biosynthesis, naringenin => pelargonidin	0	0	0	0	0	0	0	0	0	0	0	0	0
C1-unit interconversion, prokaryotes	3	3	5	2	2	3	2	4	4	3	5	4	4
C1-unit interconversion, eukaryotes	2	2	2	2	2	2	2	2	2	2	2	2	2
NADH:ubiquinone oxidoreductase, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH:quinone oxidoreductase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 beta subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase (ubiquinone)	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase, prokaryotes	3	2	3	2	3	2	4	2	2	2	1	3	2
Fumarate reductase, prokaryotes	2	1	2	3	2	2	4	2	2	2	1	2	2
Cytochrome bc1 complex respiratory unit	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bc1 complex	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bd ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase	1	1	1	0	0	0	1	0	0	0	0	1	1
Cytochrome c oxidase, prokaryotes	0	0	0	0	0	0	3	0	0	0	0	0	0
Cytochrome c oxidase, cbb3-type	0	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, prokaryotes and chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0
V/A-type ATPase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0
V-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem II	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome b6f complex	0	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem I	0	0	0	0	0	0	0	0	0	0	0	0	0
Reductive pentose phosphate cycle (Calvin cycle)	8	7	8	5	5	9	12	7	9	10	9	8	8
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	4	4	4	2	3	4	4	4	4	5	4	4	4
Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	4	3	4	3	2	5	8	3	5	5	5	4	4
CAM (Crassulacean acid metabolism), dark	1	1	1	1	1	1	2	1	1	1	1	1	1
CAM (Crassulacean acid metabolism), light	2	2	2	2	1	2	2	2	2	1	2	2	2
C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	1	0	1	0	0	1	2	1	1	1	0	1	1
C4-dicarboxylic acid cycle, NAD - malic enzyme type	2	2	2	2	1	2	3	2	2	2	2	2	2
C4-dicarboxylic acid cycle, NADP - malic enzyme type	2	2	2	2	1	2	3	2	2	1	2	2	2
Reductive citrate cycle (Arnon-Buchanan cycle)	31	30	35	35	30	28	42	33	33	26	27	36	37
Methane oxidation, methanotroph, methane => formaldehyde	2	0	2	1	1	1	3	1	1	1	1	1	2
Nitrogen fixation, nitrogen => ammonia	2	5	2	2	1	1	1	2	2	2	6	2	2
Assimilatory sulfate reduction, sulfate => H2S	8	7	9	8	5	5	10	5	8	6	7	9	9
Pyruvate oxidation, pyruvate => acetyl-CoA	11	11	11	11	11	11	11	11	11	9	11	11	11
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	4	7	5	5	6	7	7	7	7	6	7	5	7
Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	2	4	3	6	4	7	8	7	4	7	4	3	4
Cysteine biosynthesis, homocysteine + serine => cysteine	3	3	3	2	3	3	3	3	2	3	3	3	3
Formaldehyde assimilation, xylulose monophosphate pathway	1	1	2	1	2	2	3	1	1	1	2	1	1
Formaldehyde assimilation, ribulose monophosphate pathway	6	6	6	6	5	7	7	7	7	5	7	6	6
Formaldehyde assimilation, serine pathway	5	5	5	9	5	5	9	5	5	6	6	5	7
Methanogenesis, methanol => methane	10	8	12	14	10	8	14	7	6	12	9	11	11
Methanogenesis, acetate => methane	12	10	13	15	12	10	15	11	9	14	11	12	12
Coenzyme M biosynthesis	2	2	2	2	1	2	3	2	2	3	2	2	2
EHEC pathogenicity signature, Shiga toxin	0	0	0	0	0	0	0	0	0	0	0	0	0
C10-C20 isoprenoid biosynthesis, bacteria	4	3	4	3	4	0	4	3	4	3	3	4	4
C10-C20 isoprenoid biosynthesis, archaea	2	1	2	1	2	0	2	1	2	1	1	2	2
C10-C20 isoprenoid biosynthesis, plants	2	1	2	1	2	0	2	1	2	1	1	2	2
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	1	0	1	0	1	0	1	0	1	0	0	1	1
Ethylene biosynthesis, methionine => ethylene	3	3	3	3	2	3	3	3	3	3	3	3	3
Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucosinolate biosynthesis, tryptophan => glucobrassicin	0	0	0	0	0	0	0	0	0	0	0	0	0
Castasterone biosynthesis, campesterol => castasterone	0	0	0	0	0	0	0	0	0	0	0	0	0
Abscisic acid biosynthesis, beta-carotene => abscisic acid	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethylmalonyl pathway	9	9	10	8	8	6	12	8	6	10	11	10	10
Dicarboxylate-hydroxybutyrate cycle	17	15	18	18	17	13	19	17	17	14	16	18	19
Hydroxypropionate-hydroxybutylate cycle	13	12	15	16	16	11	15	13	12	13	15	14	16
3-Hydroxypropionate bi-cycle	15	17	15	10	15	9	19	12	14	15	17	15	14
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	6	8	8	6	5	9	6	9	5	7	9	6	7
F420 biosynthesis, archaea	2	1	3	3	1	5	4	2	2	4	5	2	2
Fatty acid elongation in endoplasmic reticulum	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome o ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0
Toluene degradation, anaerobic, toluene => benzoyl-CoA	4	5	5	6	5	5	8	3	4	4	8	6	4
Cymene degradation, p-cymene => p-cumate	2	2	2	2	3	2	3	2	2	3	2	1	3
Acetyl-CoA pathway, CO2 => acetyl-CoA	1	2	1	1	0	3	1	3	2	1	2	1	1
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4	4	4	4	4	4	4	4	3	1	4	4	4
Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	5	5	5	5	5	5	5	5	4	1	5	5	5
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	9	9	9	7	8	9	9	8	9	8	9	8	9
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	8	9	9	9	9	9	9	9	8	9	9	9	9
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	10	10	10	9	9	10	10	10	10	9	10	9	10
Nitrification, ammonia => nitrite	0	0	1	1	1	0	1	0	0	0	0	1	1
Denitrification, nitrate => nitrogen	0	1	3	5	1	0	7	1	1	5	0	1	1
Dissimilatory nitrate reduction, nitrate => ammonia	1	2	5	8	3	2	9	2	1	5	1	4	4
Assimilatory nitrate reduction, nitrate => ammonia	1	2	1	4	1	2	4	2	2	4	2	1	1
Photorespiration	10	7	9	11	8	8	11	5	10	7	7	8	9
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1	1	1	2	2	2	3	1	1	3	2	1	2
Naphthalene degradation, naphthalene => salicylate	3	4	4	4	4	5	5	3	5	4	4	3	4
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	4	4	4	4	4	4	4	4	3	1	4	4	4
Xylene degradation, xylene => methylbenzoate	3	2	3	3	3	3	3	2	2	2	2	3	3
Toluene degradation, toluene => benzoate	3	3	3	3	3	3	3	3	3	2	2	3	3
Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	3	4	4	4	2	4	5	3	4	2	5	3	4
Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	3	4	5	5	5	4	5	2	2	4	5	5	5
Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	1	5	3	7	4	5	9	3	3	4	6	3	5
EHEC/EPEC pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0	0	0	0	0	0	0
Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	3	2	2	2	2	3	3	2	3	2	3	2	2
Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	2	0	1	0	1	2	2	2	1	0	1	0	1
Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	6	5	6	5	7	7	7	5	5	5	6	6	6
Purine degradation, xanthine => urea	4	4	4	12	4	12	15	13	4	12	4	3	4
Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	2	2	2	2	2	2	2	2	2	1	2	2	2
Benzene degradation, benzene => catechol	1	1	1	1	1	1	1	1	1	1	1	1	1
Nucleotide sugar biosynthesis, glucose => UDP-glucose	4	5	4	4	4	4	4	4	4	4	4	4	5
Ascorbate degradation, ascorbate => D-xylulose-5P	5	3	3	3	3	7	7	5	7	4	3	3	3
Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	2	2	2	2	2	2	2	2	2	2	2	2	2
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	2	4	4	2	2	4	5	4	4	3	4	3	4
Nucleotide sugar biosynthesis, galactose => UDP-galactose	1	2	1	0	1	1	2	2	2	2	1	1	1
Betaine biosynthesis, choline => betaine	3	3	3	3	3	2	4	3	3	3	3	3	3
Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	12	10	14	18	11	10	16	9	6	14	11	13	13
Helicobacter pylori pathogenicity signature, cagA pathogenicity island	0	0	0	0	0	0	0	0	0	0	0	0	0
Trehalose biosynthesis, D-glucose 1P => trehalose	6	5	6	5	6	5	5	6	5	2	2	6	6
Methanogenesis, CO2 => methane	12	11	15	19	14	10	20	11	10	15	13	13	14
Catechol ortho-cleavage, catechol => 3-oxoadipate	3	3	3	3	2	3	3	2	3	2	3	2	3
Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	6	6	6	6	6	6	8	6	3	5	9	6	7
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	7	8	8	6	7	6	8	8	5	8	8	8	8
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	8	5	9	8	6	8	8	7	5	6	7	9	9
Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	3	4	4	4	4	3	4	4	2	4	4	4	4
