ko	pathway	ERR1995253_bin.1	ERR1995253_bin.10	ERR1995253_bin.2	ERR1995253_bin.3	ERR1995253_bin.4	ERR1995253_bin.5	ERR1995253_bin.6	ERR1995253_bin.7	ERR1995253_bin.8	ERR1995253_bin.9
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	1	0	1	0	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	0	1	0	0	0	1	1	1	2	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	2	3	2	3	1	1	1	1	2	2
ko04020	Calcium signaling pathway	0	1	0	2	0	0	1	0	0	1
ko04022	cGMP-PKG signaling pathway	0	0	0	1	0	0	0	0	0	0
ko04024	cAMP signaling pathway	0	1	0	0	0	1	2	1	1	0
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	8	8	6	10	7	8	8	5	6	7
ko04068	FoxO signaling pathway	0	1	0	1	0	0	0	0	0	0
ko04070	Phosphatidylinositol signaling system	2	4	5	6	5	3	5	4	2	5
ko04071	Sphingolipid signaling pathway	0	3	1	1	1	2	3	2	1	2
ko04072	Phospholipase D signaling pathway	2	3	1	2	1	3	4	2	3	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	2	3	3	2	3	3	3	3	2
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	12	12	15	16	7	10	12	8	8	9
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	2	12	3	8	2	1	7	2	9	13
ko04144	Endocytosis	0	1	0	0	0	1	1	1	1	0
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	11	9	9	18	8	10	9	4	5	8
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	0	1	0	0	0	0	0	0
ko04152	AMPK signaling pathway	2	1	1	3	1	2	2	1	1	1
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	1	0	1	0	0	0	0	0	0
ko04212	Longevity regulating pathway - worm	1	1	1	2	0	0	0	0	0	0
ko04213	Longevity regulating pathway - multiple species	0	1	0	1	0	0	0	0	0	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	2	2	2	2	1	2	1	2
ko04217	Necroptosis	1	3	1	3	3	3	3	3	2	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	1	0	0	1	1	1	1	0	1	1
ko04370	VEGF signaling pathway	0	1	0	1	0	0	1	0	0	1
ko04371	Apelin signaling pathway	0	1	0	2	0	0	1	0	0	1
ko04380	Osteoclast differentiation	0	0	0	0	0	0	0	0	0	1
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	1	0	0	0	0	0	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	0	0	1	0	0	0	0	1	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	0	2	0	0	0	1	2	1	1	1
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0	0	0	0
ko04714	Thermogenesis	2	3	2	3	2	2	1	2	1	2
ko04720	Long-term potentiation	0	0	0	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	2	2	2	2	1	1	2	1	2	1
ko04724	Glutamatergic synapse	0	3	2	2	1	2	2	2	3	2
ko04725	Cholinergic synapse	0	0	0	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	1	1	1	1	1	1	1	1	1	1
ko04727	GABAergic synapse	3	4	5	5	3	3	4	2	3	4
ko04728	Dopaminergic synapse	2	2	1	1	1	2	2	1	2	2
ko04730	Long-term depression	0	0	0	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	0	2	1	2	1	1	1	1	0	1
ko04911	Insulin secretion	0	0	0	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	0	1	0	0	0	1	1	1	1	0
ko04913	Ovarian steroidogenesis	0	0	0	0	0	0	1	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	0	0	1	0	0	0	0	0	0
ko04916	Melanogenesis	0	0	0	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	1	0	0	1	1	1	1	1	1	0
ko04918	Thyroid hormone synthesis	2	2	1	2	1	1	1	1	1	2
ko04919	Thyroid hormone signaling pathway	1	1	0	1	0	1	1	1	1	1
ko04920	Adipocytokine signaling pathway	2	2	2	2	2	2	0	2	0	2
ko04921	Oxytocin signaling pathway	0	0	0	1	0	0	0	0	0	0
ko04922	Glucagon signaling pathway	6	7	5	8	6	7	7	4	4	7
ko04923	Regulation of lipolysis in adipocytes	2	2	2	2	1	1	1	1	3	1
ko04924	Renin secretion	0	0	0	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	0	0	2	0	0	0	0	0	0
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	0	1	0	0	0	1	1	1	1	0
ko04929	GnRH secretion	0	0	0	0	0	0	0	0	0	0
ko04930	Type II diabetes mellitus	1	2	0	1	1	1	1	1	1	1
ko04931	Insulin resistance	3	4	3	5	4	4	4	3	2	4
ko04932	Non-alcoholic fatty liver disease	0	0	0	0	0	0	0	0	0	0
ko04933	AGE-RAGE signaling pathway in diabetic complications	0	0	0	1	0	0	0	0	0	0
ko04934	Cushing syndrome	1	1	1	1	1	1	1	0	1	1
ko04935	Growth hormone synthesis, secretion and action	0	0	0	0	0	0	0	0	0	0
ko04936	Alcoholic liver disease	1	4	1	4	2	2	4	2	1	4
ko04940	Type I diabetes mellitus	1	1	1	1	1	1	1	1	1	1
ko04950	Maturity onset diabetes of the young	0	0	0	0	0	0	0	0	0	0
ko04960	Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0	0
ko04961	Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0	0
ko04962	Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0	0	0	0
ko04964	Proximal tubule bicarbonate reclamation	1	2	1	2	1	1	1	1	2	2
ko04966	Collecting duct acid secretion	0	0	0	0	0	0	0	0	0	0
ko04970	Salivary secretion	0	1	0	1	1	1	1	1	0	1
ko04971	Gastric acid secretion	0	0	0	0	0	0	0	0	0	0
ko04972	Pancreatic secretion	0	1	0	1	1	1	1	1	0	1
ko04973	Carbohydrate digestion and absorption	0	2	0	1	1	1	1	1	0	1
ko04974	Protein digestion and absorption	0	0	0	0	0	0	0	0	0	0
ko04975	Fat digestion and absorption	2	2	2	2	0	2	2	1	2	2
ko04976	Bile secretion	0	0	0	0	0	0	0	0	0	0
ko04977	Vitamin digestion and absorption	0	0	0	0	0	0	0	0	0	0
ko04978	Mineral absorption	0	0	0	0	0	0	0	0	0	0
ko04979	Cholesterol metabolism	0	0	0	0	0	0	0	0	0	0
ko05010	Alzheimer disease	2	2	2	3	2	2	2	1	2	2
ko05012	Parkinson disease	1	1	1	1	1	1	1	1	1	1
ko05014	Amyotrophic lateral sclerosis	1	2	0	3	0	0	0	0	0	1
ko05016	Huntington disease	1	1	0	1	0	0	0	0	0	1
ko05017	Spinocerebellar ataxia	0	0	0	0	0	0	0	0	0	0
ko05020	Prion disease	0	0	0	0	0	0	0	0	0	0
ko05022	Pathways of neurodegeneration - multiple diseases	2	3	1	4	1	1	1	0	1	2
ko05030	Cocaine addiction	1	1	1	1	1	1	1	1	1	1
ko05031	Amphetamine addiction	1	1	1	1	1	1	1	1	1	1
ko05032	Morphine addiction	0	0	0	0	0	0	0	0	0	0
ko05033	Nicotine addiction	0	0	0	0	0	0	0	0	0	0
ko05034	Alcoholism	1	1	1	1	1	1	1	1	1	1
ko05100	Bacterial invasion of epithelial cells	0	0	0	0	0	0	0	0	0	0
ko05110	Vibrio cholerae infection	0	1	0	0	0	0	0	0	0	1
ko05111	Biofilm formation - Vibrio cholerae	6	5	3	9	7	8	6	5	5	6
ko05120	Epithelial cell signaling in Helicobacter pylori infection	1	0	1	1	1	1	1	0	0	0
ko05130	Pathogenic Escherichia coli infection	1	1	1	1	1	1	1	1	1	1
ko05131	Shigellosis	0	1	0	0	0	0	0	0	0	0
ko05132	Salmonella infection	1	1	1	1	1	1	1	1	1	1
ko05133	Pertussis	0	0	1	2	0	0	0	0	0	0
ko05134	Legionellosis	1	1	1	1	1	1	1	1	1	1
ko05135	Yersinia infection	0	0	0	0	0	0	0	0	0	0
ko05140	Leishmaniasis	0	0	0	1	0	0	0	0	0	0
ko05142	Chagas disease	0	0	0	1	0	0	0	0	0	0
ko05143	African trypanosomiasis	0	0	0	0	0	0	0	0	0	0
ko05144	Malaria	0	0	0	0	0	0	0	0	0	0
ko05145	Toxoplasmosis	0	0	0	1	0	0	0	0	0	0
ko05146	Amoebiasis	1	2	2	3	1	1	1	2	1	2
ko05150	Staphylococcus aureus infection	2	2	2	2	1	2	1	2	1	2
ko05152	Tuberculosis	0	1	0	1	0	0	1	0	0	1
ko05160	Hepatitis C	0	0	0	0	0	0	0	0	0	0
ko05161	Hepatitis B	0	0	0	0	0	0	0	0	0	0
ko05162	Measles	0	0	0	0	0	0	0	0	0	0
ko05163	Human cytomegalovirus infection	0	0	0	0	0	0	0	0	0	0
ko05164	Influenza A	0	0	0	0	0	0	0	0	0	0
ko05165	Human papillomavirus infection	1	1	0	1	1	1	1	1	1	1
ko05166	Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0	0	0	0
ko05167	Kaposi sarcoma-associated herpesvirus infection	0	0	0	0	0	0	0	0	0	0
ko05168	Herpes simplex virus 1 infection	0	0	0	0	0	0	0	0	0	0
ko05169	Epstein-Barr virus infection	0	0	0	0	0	0	0	0	0	0
ko05170	Human immunodeficiency virus 1 infection	0	0	0	0	0	0	0	0	0	0
ko05171	Coronavirus disease - COVID-19	0	0	0	0	0	0	0	0	0	0
ko05200	Pathways in cancer	2	3	3	4	2	3	3	2	3	2
ko05202	Transcriptional misregulation in cancer	0	0	0	0	0	0	0	0	0	0
ko05203	Viral carcinogenesis	1	1	0	1	1	1	1	1	1	1
ko05204	Chemical carcinogenesis - DNA adducts	2	1	2	3	1	1	1	0	1	1
ko05205	Proteoglycans in cancer	0	0	0	0	0	0	0	0	0	0
ko05206	MicroRNAs in cancer	1	3	2	2	1	2	1	0	3	2
ko05207	Chemical carcinogenesis - receptor activation	2	1	2	2	0	0	0	0	0	1
ko05208	Chemical carcinogenesis - reactive oxygen species	4	6	5	6	3	4	4	3	4	4
ko05210	Colorectal cancer	0	0	0	0	0	0	0	0	0	0
ko05211	Renal cell carcinoma	1	1	1	1	1	1	1	0	1	1
ko05212	Pancreatic cancer	0	1	0	0	0	1	1	1	1	0
ko05213	Endometrial cancer	0	0	0	0	0	0	0	0	0	0
ko05214	Glioma	0	0	0	0	0	0	0	0	0	0
ko05215	Prostate cancer	0	0	0	0	0	0	0	0	0	0
ko05216	Thyroid cancer	0	0	0	0	0	0	0	0	0	0
ko05217	Basal cell carcinoma	0	0	0	0	0	0	0	0	0	0
ko05218	Melanoma	0	0	0	0	0	0	0	0	0	0
ko05219	Bladder cancer	1	1	1	1	1	1	0	1	1	1
ko05220	Chronic myeloid leukemia	0	0	0	0	0	0	0	0	0	0
ko05221	Acute myeloid leukemia	0	0	0	0	0	0	0	0	0	0
ko05222	Small cell lung cancer	0	0	0	1	0	0	0	0	0	0
ko05223	Non-small cell lung cancer	0	0	0	0	0	0	0	0	0	0
ko05224	Breast cancer	0	0	0	0	0	0	0	0	0	0
ko05225	Hepatocellular carcinoma	1	1	2	2	1	1	1	1	1	1
ko05226	Gastric cancer	0	0	0	0	0	0	0	0	0	0
ko05230	Central carbon metabolism in cancer	7	10	6	9	7	7	7	3	5	9
ko05231	Choline metabolism in cancer	1	1	1	1	1	2	2	1	3	1
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	0	0	0	0	0	0	0
ko05310	Asthma	0	0	0	0	0	0	0	0	0	0
ko05320	Autoimmune thyroid disease	0	0	0	0	0	0	0	0	0	0
ko05321	Inflammatory bowel disease	0	0	0	0	0	0	0	0	0	0
ko05322	Systemic lupus erythematosus	0	0	0	0	0	0	0	0	0	0
ko05323	Rheumatoid arthritis	0	0	0	0	0	0	0	0	0	1
ko05330	Allograft rejection	0	0	0	0	0	0	0	0	0	0
ko05332	Graft-versus-host disease	0	0	0	0	0	0	0	0	0	0
ko05340	Primary immunodeficiency	1	0	0	1	1	1	1	0	0	0
ko05410	Hypertrophic cardiomyopathy	0	0	0	0	0	0	0	0	0	0
ko05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	0	0	0	0	0	0	0	0
ko05414	Dilated cardiomyopathy	0	0	0	0	0	0	0	0	0	0
ko05415	Diabetic cardiomyopathy	5	6	5	7	6	5	5	4	5	6
ko05416	Viral myocarditis	0	0	0	0	0	0	0	0	0	0
ko05417	Lipid and atherosclerosis	0	0	0	1	0	0	0	0	0	0
ko05418	Fluid shear stress and atherosclerosis	2	2	3	4	2	2	2	2	2	2
